16	1	1	1
16	1	2	1
16	1	4	1
16	2	1	1
16	2	2	1
16	2	4	1
16	4	1	1
16	4	2	1
16	4	4	1
24	1	1	1
24	1	2	1
24	1	4	1
24	2	1	1
24	2	2	1
24	2	4	1
24	4	1	1
24	4	2	1
24	4	4	1
32	1	1	1
32	1	2	1
32	1	4	1
32	2	1	1
32	2	2	1
32	2	4	1
32	4	1	1
32	4	2	1
32	4	4	1
40	1	1	1
40	1	2	1
40	1	4	1
40	1	5	1
40	2	1	1
40	2	2	1
40	2	4	1
40	2	5	1
40	4	1	1
40	4	2	1
40	4	4	1
40	4	5	1
40	5	1	1
40	5	2	1
40	5	4	1
40	5	5	1
48	1	1	1
48	1	2	1
48	1	4	1
48	2	1	1
48	2	2	1
48	2	4	1
48	4	1	1
48	4	2	1
48	4	4	1
56	1	1	1
56	1	2	1
56	1	4	1
56	2	1	1
56	2	2	1
56	2	4	1
56	4	1	1
56	4	2	1
56	4	4	1
64	1	1	1
64	1	2	1
64	1	4	1
64	2	1	1
64	2	2	1
64	2	4	1
64	4	1	1
64	4	2	1
64	4	4	1
