80	1	1	1	1
80	1	1	1	3
80	1	1	1	4
80	1	1	1	6
80	1	1	1	8
80	1	1	1	12
80	1	2	1	1
80	1	2	1	3
80	1	2	1	4
80	1	2	1	6
80	1	2	1	8
80	1	2	1	12
80	1	3	1	1
80	1	3	1	3
80	1	3	1	4
80	1	3	1	6
80	1	3	1	8
80	1	3	1	12
80	2	1	1	1
80	2	1	1	3
80	2	1	1	4
80	2	1	1	6
80	2	1	1	8
80	2	1	1	12
80	2	2	1	1
80	2	2	1	3
80	2	2	1	4
80	2	2	1	6
80	2	2	1	8
80	2	2	1	12
80	2	3	1	1
80	2	3	1	3
80	2	3	1	4
80	2	3	1	6
80	2	3	1	8
80	2	3	1	12
80	3	1	1	1
80	3	1	1	3
80	3	1	1	4
80	3	1	1	6
80	3	1	1	8
80	3	1	1	12
80	3	2	1	1
80	3	2	1	3
80	3	2	1	4
80	3	2	1	6
80	3	2	1	8
80	3	2	1	12
80	3	3	1	1
80	3	3	1	3
80	3	3	1	4
80	3	3	1	6
80	3	3	1	8
80	3	3	1	12
95	1	1	1	1
95	1	1	1	3
95	1	1	1	4
95	1	1	1	6
95	1	1	1	8
95	1	1	1	12
95	1	2	1	1
95	1	2	1	3
95	1	2	1	4
95	1	2	1	6
95	1	2	1	8
95	1	2	1	12
95	1	3	1	1
95	1	3	1	3
95	1	3	1	4
95	1	3	1	6
95	1	3	1	8
95	1	3	1	12
95	2	1	1	1
95	2	1	1	3
95	2	1	1	4
95	2	1	1	6
95	2	1	1	8
95	2	1	1	12
95	2	2	1	1
95	2	2	1	3
95	2	2	1	4
95	2	2	1	6
95	2	2	1	8
95	2	2	1	12
95	2	3	1	1
95	2	3	1	3
95	2	3	1	4
95	2	3	1	6
95	2	3	1	8
95	2	3	1	12
95	3	1	1	1
95	3	1	1	3
95	3	1	1	4
95	3	1	1	6
95	3	1	1	8
95	3	1	1	12
95	3	2	1	1
95	3	2	1	3
95	3	2	1	4
95	3	2	1	6
95	3	2	1	8
95	3	2	1	12
95	3	3	1	1
95	3	3	1	3
95	3	3	1	4
95	3	3	1	6
95	3	3	1	8
95	3	3	1	12
